EARNINGS,EXPENSES
372572.16,122611.27
419440.58,133176.18
419766.49,154670.69
361453.31,209360.42
354463.33,174147.13
340758.31,171127.13
461209.09,201862.17
416877.39,148556.39
413084.91,134615.85
396260.93,179207.48
349398.07,133338.44
322589.43,160831.1
403463.78,159107.66
421034.58,137484.84
508631.77,107515.01
356932.89,139948.6
415560.3,171425.29
390128.95,216644.4
363098.65,128840.24
418156.01,169636.58
425019.51,157168.73
395493.01,147952.65
401361.0,150173.88
392318.06,106092.24
414275.86,141967.36
399753.55,59649.41
409538.79,132704.43
423850.27,139784.11
371149.64,155473.41
433987.89,202024.74
411835.62,129094.66
418509.28,99287.32
446157.95,105672.81
471498.9,107569.68
363110.02,152111.01
440888.89,153867.33
422065.07,108122.79
501345.62,185113.09
438769.67,186130.37
452366.65,118049.47
433635.08,214597.92
341186.69,130399.71
454191.67,149359.13
393097.84,164863.25
370337.0,221023.95
527975.11,153840.74
524751.0,124666.73
458449.59,202942.5
488570.35,119770.47
465337.14,171093.65
546131.04,152966.77
488634.43,203550.41
475788.31,221682.3
491026.5,203268.9
520227.55,154923.93
527614.05,148622.87
554683.54,199924.77
507195.87,249698.69
546824.09,209277.37
628320.16,222948.66
591267.86,187495.37
554962.05,163498.28
596410.46,247280.82
544159.44,266858.27
554291.36,246298.9
575583.28,206229.28
646041.82,211822.24
594352.46,227539.64
575355.81,219525.45
653909.13,180651.96
555641.59,252924.0
682674.66,246335.16
683968.15,183221.8
761016.42,259448.71
734768.46,254631.62
772216.59,159980.17
764425.56,252368.39
740592.42,227825.81
757780.37,228196.27
700187.84,226455.71
787777.93,321993.31
786363.01,253464.27
828074.33,234450.33
818044.38,286127.91
