IP,ENTER,LEAVE
187.162.243.198,2016-10-07 01:01:01,2016-10-07 01:04:57
119.200.107.183,2016-10-07 01:01:01,2016-10-07 01:03:47
170.158.132.203,2016-10-07 01:01:06,2016-10-07 01:03:09
24.169.81.199,2016-10-07 01:01:18,2016-10-07 01:09:36
186.129.160.43,2016-10-07 01:01:20,2016-10-07 01:08:32
21.122.244.31,2016-10-07 01:01:36,2016-10-07 01:08:52
179.89.29.143,2016-10-07 01:01:46,2016-10-07 01:04:14
154.166.54.177,2016-10-07 01:01:48,2016-10-07 01:02:04
109.194.31.156,2016-10-07 01:01:51,2016-10-07 01:05:31
185.8.220.76,2016-10-07 01:01:51,2016-10-07 01:10:07
231.229.254.246,2016-10-07 01:01:52,2016-10-07 01:05:18
52.147.32.22,2016-10-07 01:01:56,2016-10-07 01:09:51
40.130.91.217,2016-10-07 01:02:11,2016-10-07 01:10:35
236.65.152.173,2016-10-07 01:02:13,2016-10-07 01:11:03
80.26.160.152,2016-10-07 01:02:16,2016-10-07 01:06:24
67.80.169.208,2016-10-07 01:02:17,2016-10-07 01:07:12
19.140.166.194,2016-10-07 01:02:27,2016-10-07 01:04:27
67.166.42.189,2016-10-07 01:02:29,2016-10-07 01:07:56
65.139.137.208,2016-10-07 01:02:30,2016-10-07 01:10:21
235.23.141.196,2016-10-07 01:02:30,2016-10-07 01:07:08
84.255.185.152,2016-10-07 01:02:41,2016-10-07 01:03:52
188.95.192.114,2016-10-07 01:02:50,2016-10-07 01:05:09
129.61.240.101,2016-10-07 01:03:06,2016-10-07 01:05:46
27.176.220.39,2016-10-07 01:03:10,2016-10-07 01:08:36
46.78.236.54,2016-10-07 01:03:14,2016-10-07 01:05:01
190.234.56.219,2016-10-07 01:03:17,2016-10-07 01:10:39
234.183.39.176,2016-10-07 01:03:19,2016-10-07 01:07:47
239.247.214.156,2016-10-07 01:03:27,2016-10-07 01:10:16
51.96.109.172,2016-10-07 01:03:29,2016-10-07 01:06:03
113.254.178.249,2016-10-07 01:03:30,2016-10-07 01:10:18
25.7.215.158,2016-10-07 01:03:31,2016-10-07 01:07:32
190.215.26.8,2016-10-07 01:03:35,2016-10-07 01:08:40
97.42.140.36,2016-10-07 01:03:37,2016-10-07 01:11:40
75.54.250.185,2016-10-07 01:04:02,2016-10-07 01:11:16
95.255.232.210,2016-10-07 01:04:02,2016-10-07 01:07:51
82.218.250.85,2016-10-07 01:04:13,2016-10-07 01:14:05
34.125.108.114,2016-10-07 01:04:16,2016-10-07 01:12:33
219.83.107.11,2016-10-07 01:04:17,2016-10-07 01:07:27
205.143.230.208,2016-10-07 01:04:18,2016-10-07 01:12:03
107.187.224.255,2016-10-07 01:04:21,2016-10-07 01:08:21
242.194.237.89,2016-10-07 01:04:24,2016-10-07 01:04:38
140.92.200.4,2016-10-07 01:04:24,2016-10-07 01:07:57
92.15.80.141,2016-10-07 01:04:28,2016-10-07 01:11:27
108.109.13.137,2016-10-07 01:04:29,2016-10-07 01:10:44
51.171.9.222,2016-10-07 01:04:37,2016-10-07 01:12:56
157.137.73.92,2016-10-07 01:04:43,2016-10-07 01:09:45
120.21.44.113,2016-10-07 01:04:43,2016-10-07 01:05:45
25.152.63.89,2016-10-07 01:04:43,2016-10-07 01:08:00
163.201.225.104,2016-10-07 01:04:47,2016-10-07 01:05:05
208.5.208.19,2016-10-07 01:04:52,2016-10-07 01:05:54
22.124.206.215,2016-10-07 01:04:54,2016-10-07 01:08:45
193.34.38.180,2016-10-07 01:05:18,2016-10-07 01:06:56
234.241.176.152,2016-10-07 01:05:20,2016-10-07 01:07:15
211.51.35.154,2016-10-07 01:05:35,2016-10-07 01:14:58
158.105.81.173,2016-10-07 01:05:36,2016-10-07 01:10:15
236.101.63.189,2016-10-07 01:05:37,2016-10-07 01:10:28
18.82.199.11,2016-10-07 01:05:39,2016-10-07 01:06:39
0.229.145.27,2016-10-07 01:05:47,2016-10-07 01:15:33
159.146.115.104,2016-10-07 01:06:02,2016-10-07 01:15:46
156.56.122.60,2016-10-07 01:06:03,2016-10-07 01:12:54
92.112.63.220,2016-10-07 01:06:04,2016-10-07 01:11:17
103.229.109.213,2016-10-07 01:06:08,2016-10-07 01:07:18
214.174.110.189,2016-10-07 01:06:14,2016-10-07 01:15:14
211.200.18.200,2016-10-07 01:06:18,2016-10-07 01:06:51
126.137.58.6,2016-10-07 01:06:18,2016-10-07 01:09:46
232.113.108.39,2016-10-07 01:06:25,2016-10-07 01:11:58
27.195.131.107,2016-10-07 01:06:36,2016-10-07 01:15:43
1.181.157.141,2016-10-07 01:06:53,2016-10-07 01:11:46
201.239.214.88,2016-10-07 01:07:03,2016-10-07 01:15:27
57.225.174.247,2016-10-07 01:07:06,2016-10-07 01:13:23
237.11.165.203,2016-10-07 01:07:11,2016-10-07 01:13:50
74.185.148.233,2016-10-07 01:07:19,2016-10-07 01:08:50
79.123.0.63,2016-10-07 01:07:34,2016-10-07 01:08:55
