WINNING_TEAM, LOSING_TEAM
Middle Tenn St,Alabama St
Cleveland St,Grambling
Indiana,Bryant
Xavier,F Dickinson
Richmond,Liberty
Seton Hall,Missouri KC
NC State,Miami OH
Gonzaga,Southern Utah
Minnesota,American Univ
Mississippi,MS Valley St
Marshall,Longwood
Kansas St,North Dakota
Pittsburgh,Mt St Mary's
DePaul,UC Riverside
Valparaiso,Ga Southern
Iowa,TX Pan American
Belmont,Lipscomb
Monmouth NJ,Hofstra
UCLA,Indiana St
Loyola MD,Binghamton
Rider,Robert Morris
Iowa St,Southern Univ
VA Commonwealth,FL Gulf Coast
Bradley,E Illinois
Baylor,Lehigh
UTEP,Oral Roberts
Illinois,Colgate
Creighton,North Texas
Duke,Georgia St
Kansas,SE Missouri St
Oregon St,Niagara
Georgia Tech,Tulane
William & Mary,Hampton
North Carolina,Gardner Webb
Col Charleston,Towson
St Louis,SC Upstate
Ark Little Rock,TN Martin
Colorado,Wofford
BYU,Tennessee St
LSU,Santa Barbara
USC,Coppin St
IUPUI,Utah Valley
NE Omaha,N Illinois
Morgan St,UT San Antonio
Wake Forest,Radford
Norfolk St,Rhode Island
Texas A&M,Louisiana Tech
Loyola-Chicago,Toledo
Stanford,San Francisco
Hawaii,MD E Shore
Austin Peay,Samford
Auburn,IPFW
St Francis NY,Lafayette
Charlotte,Charleston So
UNC Asheville,W Carolina
St Bonaventure,Bethune-Cookman
Texas St,Fordham
Texas Tech,Prairie View
Wright St,Idaho
Tennessee,Kennesaw
Miami FL,Stetson
High Point,UNC Greensboro
Oklahoma St,UC Davis
Penn St,St Francis PA
TCU,Cal Poly SLO
Iona,Denver
Colorado St,Montana
Georgia,Jacksonville
CS Northridge,Pepperdine
Houston,Florida A&M
South Alabama,Florida St
Bucknell,Purdue
Penn,MD Baltimore Co
Arkansas,Sam Houston St
George Mason,Virginia
Connecticut,Michigan St
Kent,Drexel
Coastal Car,Akron
St Peter's,Rutgers
New Orleans,San Jose St
Houston Bap,Ark Pine Bluff
Morehead St,Long Island
Albany NY,Duquesne
Troy,Mississippi St
Kentucky,Maryland
Alabama,S Dakota St
Stony Brook,Marist
Texas,Fresno St
UT Arlington,CS Bakersfield
Northeastern,Boston Univ
Vermont,Siena
Holy Cross,Old Dominion
Ohio,Portland
Columbia,Furman
Washington St,E Washington
UCF,South Florida
Virginia Tech,ETSU
Vanderbilt,Nicholls St
Butler,Elon
Arizona St,Cent Arkansas
Missouri,Edwardsville
Wichita St,NC Central
UC Irvine,Nevada
Dayton,Arkansas St
Dartmouth,Maine
Air Force,Army
Old Dominion,Morgan St
Oregon,Northern Arizona
Notre Dame,Evansville
Cornell,W Michigan
Citadel,VMI
Utah St,Idaho St
La Salle,Delaware
Youngstown St,G Washington
WI Green Bay,Chicago St
Princeton,Buffalo
UT San Antonio,Holy Cross
Quinnipiac,Hartford
Southern Miss,W Kentucky
Sacred Heart,Yale
Providence,NJIT
Fairfield,Central Conn
Florida,Alabama St
Wisconsin,SE Louisiana
Oklahoma,ULM
Baylor,Jackson St
Purdue,Hofstra
Louisville,Manhattan
Ball St,Grambling
Hawaii,Ark Pine Bluff
North Carolina,FL Atlantic
Cincinnati,TN Martin
Ohio St,Albany NY
Washington,Loyola MD
Marquette,Colgate
Boise St,TX Southern
SMU,Loy Marymount
Houston Bap,MD E Shore
Seattle,Montana St
Boston College,Florida Intl
California,CS Bakersfield
Syracuse,San Diego St
Villanova,Marshall
Nebraska,Southern Univ
ULL,Oakland
Brown,Binghamton
UT San Antonio,Old Dominion
Arizona,Charleston So
Oregon St,New Mexico St
UNC Wilmington,UNC Asheville
South Carolina,WI Milwaukee
Jacksonville St,E Michigan
IL Chicago,UC Riverside
Air Force,Citadel
Georgetown,Duquesne
Army,VMI
Siena,Navy
Holy Cross,Morgan St
Iowa St,Alabama A&M
UNLV,Northern Arizona
Michigan,IUPUI
Pittsburgh,Fordham
Gonzaga,West Virginia
Clemson,Presbyterian
Providence,Bryant
Lehigh,Robert Morris
Illinois St,Santa Barbara
Florida St,Buffalo
Notre Dame,Monmouth NJ
Minnesota,Toledo
Indiana,N Dakota St
St Joseph's PA,Yale
Rutgers,Sacred Heart
Illinois,St Francis NY
Kansas St,Lamar
Texas,Coppin St
Maryland,Morehead St
Virginia Tech,Rhode Island
Texas A&M,Troy
Bradley,TX Pan American
S Illinois,New Orleans
CS Northridge,E Washington
Memphis,North Florida
Delaware,Penn
Seton Hall,Norfolk St
Stanford,CS Fullerton
Hawaii,Houston Bap
Iowa,C Michigan
Youngstown St,Georgia
William & Mary,Liberty
Oregon,Portland St
Ark Pine Bluff,MD E Shore
Virginia,Fairfield
Utah Valley,NC A&T
Canisius,Boston Univ
Cleveland St,Bowling Green
American Univ,Quinnipiac
New Mexico,Davidson
Lafayette,Long Island
Northwestern LA,Campbell
St Peter's,Central Conn
Kennesaw,S Carolina St
Richmond,UNC Wilmington
Cincinnati,MS Valley St
Missouri,Alcorn St
Northwestern,TX Southern
Michigan,Cleveland St
UCF,Alabama St
Miami OH,Grambling
LSU,McNeese St
Pittsburgh,Lehigh
Valparaiso,N Illinois
Stetson,Florida A&M
High Point,Appalachian St
Mississippi St,FL Atlantic
W Kentucky,Austin Peay
Connecticut,Vermont
Mississippi,Coastal Car
BYU,Georgia St
USC,Long Beach St
Niagara,St Francis PA
California,Pepperdine
Robert Morris,Fordham
Xavier,Butler
North Texas,Lamar
Temple,Kent
New Hampshire,Dartmouth
IUPUI,Bowling Green
Charlotte,Ga Southern
FL Gulf Coast,Miami FL
Wright St,E Illinois
Indiana St,Winthrop
Marquette,SE Louisiana
Tulane,Bethune-Cookman
Fairfield,Penn
Stony Brook,Rider
Boise St,Oakland
Mt St Mary's,Hartford
S Dakota St,Tennessee St
Duke,Kentucky
Delaware,Virginia
Bucknell,George Mason
Massachusetts,Harvard
St John's,Detroit
Middle Tenn St,Savannah St
Michigan St,Kansas
Wichita St,VA Commonwealth
Houston,San Jose St
Northeastern,Princeton
Albany NY,Washington
UCLA,UC Irvine
Texas Tech,NE Omaha
Navy,Binghamton
Washington St,Utah Valley
Florida,Wisconsin
Louisiana Tech,Ark Little Rock
CS Sacramento,CS Bakersfield
Creighton,UAB
Denver,TAM C. Christi
Loyola MD,MD Baltimore Co
Georgia Tech,Presbyterian
Colgate,Marist
Wyoming,NC Central
Santa Clara,St Louis
Edwardsville,W Illinois
Georgetown,Liberty
Fresno St,UC Riverside
Savannah St,North Florida
Southern Univ,South Dakota
Lipscomb,Gardner Webb
St Bonaventure,Cornell
Delaware St,Wagner
San Diego,N Kentucky
Holy Cross,Maine
Northern Iowa,Toledo
Indiana,Sam Houston St
Iowa,Howard
UCLA,James Madison
Minnesota,Tennessee St
Louisville,Samford
New Mexico St,SE Louisiana
Texas A&M,Prairie View
Arizona,UTEP
Tulsa,N Kentucky
Murray St,Auburn
Wyoming,South Dakota
Jacksonville St,Alabama A&M
Stanford,Alcorn St
NC State,Penn St
Wichita St,W Carolina
Virginia Tech,VMI
Central Conn,Brown
Kansas,Chattanooga
Northwestern,MS Valley St
Norfolk St,Longwood
Gardner Webb,DePaul
St John's,Col Charleston
SE Missouri St,McNeese St
Cal Poly SLO,N Colorado
Colorado,Dayton
Baylor,Boston College
Richmond,Hampton
St Mary's CA,Utah St
Villanova,Purdue
Tennessee,UNC Asheville
Bethune-Cookman,New Orleans
Buffalo,Evansville
American Univ,Mt St Mary's
Oklahoma St,Akron
NC Central,Southern Univ
SMU,TCU
Alabama,Oregon St
Portland,Idaho St
CS Northridge,San Diego
Southern Miss,Georgia
Illinois St,Drexel
Massachusetts,Providence
Tennessee Tech,Coastal Car
Nebraska,Valparaiso
San Jose St,Weber St
Kentucky,Lafayette
Mississippi,Ark Little Rock
Ohio,UNC Wilmington
Harvard,Manhattan
Kent,Chicago St
Oregon,Vanderbilt
Tulane,NE Omaha
Alabama,Villanova
Missouri,Nicholls St
South Florida,MD E Shore
Campbell,Appalachian St
Akron,UNC Asheville
Florida St,BYU
NC State,Massachusetts
Maryland,Long Island
Bucknell,Niagara
Clemson,Furman
Oklahoma St,Tennessee
South Carolina,Morgan St
Miami FL,Jacksonville
Dayton,Boston College
Hartford,Sacred Heart
Youngstown St,St Francis PA
North Carolina,Long Beach St
E Kentucky,Kennesaw
South Dakota,NC Central
Wright St,NC A&T
Tulsa,San Diego
WI Green Bay,Southern Utah
California,Denver
W Michigan,Loyola-Chicago
Evansville,Yale
Army,Binghamton
W Illinois,Buffalo
St Joseph's PA,Notre Dame
E Michigan,E Illinois
Towson,Radford
Oregon St,Purdue
Wyoming,Southern Univ
New Mexico,IL Chicago
Connecticut,Wake Forest
Rutgers,Princeton
Quinnipiac,Iona
Ball St,Wofford
Savannah St,Alabama St
Fresno St,Pacific
Murray St,St John's
CS Northridge,Siena
Oklahoma,UT Arlington
Arkansas St,TN Martin
St Peter's,Cornell
Auburn,Col Charleston
George Mason,Mercer
IPFW,TX Pan American
Hofstra,S Dakota St
East Carolina,UNC Greensboro
TX Southern,ULL
Nevada,CS Fullerton
CS Sacramento,Utah
Penn St,Providence
Pepperdine,Washington St
Colorado,Baylor
Illinois,Hawaii
CS Fullerton,Southern Utah
Virginia,Seattle
Houston,Grambling
VA Commonwealth,Winthrop
DePaul,Austin Peay
IL Chicago,Mercer
Iona,Wake Forest
Northern Iowa,North Dakota
William & Mary,High Point
Charlotte,Lamar
Wichita St,Howard
UNLV,Jacksonville St
South Florida,Loyola-Chicago
W Michigan,MD E Shore
Loyola MD,Norfolk St
San Diego St,Missouri St
CS Northridge,Tulsa
Temple,Rice
G Washington,Boston Univ
E Illinois,TX Pan American
E Michigan,IPFW
Bucknell,New Mexico St
Bryant,New Hampshire
Cleveland St,Old Dominion
Memphis,Samford
Ohio St,Rhode Island
Washington,Seton Hall
Vermont,Northeastern
W Kentucky,W Carolina
Pittsburgh,Oakland
Notre Dame,BYU
Iowa,Gardner Webb
SF Austin,Florida Intl
Elon,Colgate
Radford,Kennesaw
Utah St,TAM C. Christi
UT San Antonio,SC Upstate
Bradley,IUPUI
Florida St,St Joseph's PA
Detroit,Drake
Marist,Columbia
WI Milwaukee,Davidson
Evansville,W Illinois
Yale,Buffalo
Siena,N Kentucky
Rider,Monmouth NJ
Albany NY,Missouri KC
Canisius,St Bonaventure
Tennessee Tech,ETSU
FL Atlantic,Coppin St
SMU,Texas St
Montana,Idaho
Loy Marymount,CS Bakersfield
Xavier,Robert Morris
Drexel,Penn
E Kentucky,Towson
Brown,Maine
Nevada,WI Green Bay
S Dakota St,Marshall
Hofstra,Marshall
Cincinnati,NC A&T
Arkansas,Longwood
Louisville,Miami OH
Illinois St,Delaware St
Gonzaga,South Dakota
Wisconsin,Cornell
Syracuse,Wagner
Creighton,Presbyterian
Michigan St,TX Southern
Tulane,Chicago St
Northwestern,F Dickinson
Arizona St,Florida A&M
Akron,Penn St
Louisiana Tech,Troy
Ohio,Wofford
Florida,Middle Tenn St
Duke,FL Gulf Coast
Iowa St,Campbell
Oklahoma St,NC State
UAB,Navy
Kansas St,North Florida
Montana St,Portland
St Mary's CA,E Washington
Baylor,St John's
Nevada,Southern Utah
San Diego,Siena
Loyola-Chicago,MD E Shore
Minnesota,Richmond
Morehead St,Lafayette
Tennessee,Massachusetts
Nebraska,NE Omaha
W Illinois,Yale
SE Missouri St,Chattanooga
CS Fullerton,WI Green Bay
CS Northridge,N Kentucky
Ohio St,Washington
E Michigan,TX Pan American
Dayton,Auburn
Binghamton,St Peter's
E Kentucky,Radford
Belmont,Stanford
Central Conn,La Salle
Colorado,Murray St
Boise St,ULL
Towson,Kennesaw
Missouri KC,Norfolk St
Connecticut,Quinnipiac
W Michigan,South Florida
TCU,Prairie View
Valparaiso,Kent
Providence,UNC Asheville
Seton Hall,Rhode Island
Col Charleston,Boston College
Colgate,Coppin St
UCF,Savannah St
Niagara,New Mexico St
Northern Arizona,UC Davis
S Carolina St,NJIT
Loyola MD,Albany NY
Elon,FL Atlantic
Sacred Heart,Stony Brook
E Illinois,IPFW
New Mexico,George Mason
North Carolina,Mississippi St
Kansas,Washington St
Illinois,USC
Arizona,Long Beach St
Oregon,Jacksonville St
St Louis,Texas A&M
Virginia,Lamar
UC Irvine,Liberty
Ark Little Rock,WI Milwaukee
George Mason,Quinnipiac
Lehigh,Fairfield
San Francisco,American Univ
North Texas,IUPUI
Indiana,Georgia
Georgia St,Monmouth NJ
South Carolina,Rider
Southern Miss,Sam Houston St
Tennessee St,South Alabama
Robert Morris,Bowling Green
Virginia Tech,UNC Greensboro
Fresno St,Cal Poly SLO
Georgetown,UCLA
Troy,Chattanooga
Jacksonville,Missouri St
New Mexico,Connecticut
IL Chicago,Iona
Louisiana Tech,SE Missouri St
N Dakota St,Youngstown St
Wake Forest,Mercer
Duquesne,James Madison
Oral Roberts,Pacific
Fordham,Penn
Butler,Marquette
Creighton,Longwood
Wisconsin,Presbyterian
Texas Tech,Grambling
Illinois St,F Dickinson
Iowa St,NC A&T
Arkansas,Florida A&M
Albany NY,S Carolina St
Marquette,Mississippi St
Mississippi,McNeese St
Indiana St,Ball St
Santa Clara,SC Upstate
South Florida,Bradley
Northwestern,Delaware St
Cincinnati,Campbell
St Joseph's PA,Harvard
Columbia,Villanova
Florida,Savannah St
S Illinois,Edwardsville
Virginia,North Texas
Middle Tenn St,UCF
N Dakota St,Duquesne
Sam Houston St,Liberty
Kansas,St Louis
La Salle,Hartford
Wichita St,DePaul
Evansville,Tennessee Tech
Gardner Webb,Howard
Arizona St,Cornell
UC Davis,CS Sacramento
Butler,North Carolina
East Carolina,Appalachian St
Idaho,WI Green Bay
Indiana,Georgetown
Maryland,Lafayette
Robert Morris,Cleveland St
Iowa,W Kentucky
Louisiana Tech,Chattanooga
Ohio,Hampton
Army,St Francis NY
LSU,Northwestern LA
Canisius,Buffalo
Lehigh,Penn
UAB,Prairie View
Richmond,Wofford
USC,Texas
Hawaii,North Dakota
Michigan St,Boise St
Southern Miss,UC Irvine
Pepperdine,Houston Bap
Lamar,IUPUI
UCLA,Georgia
Troy,SE Missouri St
Utah Valley,E Washington
Fairfield,Fordham
TCU,Navy
Monmouth NJ,South Alabama
Georgia St,Tennessee St
ETSU,Charleston So
Rutgers,Boston Univ
Oakland,TX Southern
Austin Peay,W Carolina
James Madison,Youngstown St
Kent,Bethune-Cookman
Central Conn,MD Baltimore Co
Texas A&M,Washington St
San Diego St,Ark Pine Bluff
Seton Hall,Maine
Purdue,UNC Wilmington
N Dakota St,James Madison
Ark Little Rock,Jacksonville
Portland,Portland St
Syracuse,Princeton
Tulsa,Jackson St
BYU,UT San Antonio
Southern Miss,Liberty
Santa Barbara,San Diego
Notre Dame,G Washington
Illinois,Butler
Ga Southern,Kennesaw
Air Force,Montana St
Texas,Mississippi St
Toledo,Samford
Miami OH,William & Mary
Vermont,Yale
SMU,Rider
St John's,Holy Cross
Elon,South Carolina
Wichita St,Iowa
Monmouth NJ,Tennessee St
Manhattan,Hofstra
Kentucky,Morehead St
Utah,Idaho St
Duquesne,Youngstown St
Gardner Webb,Austin Peay
Northeastern,UC Riverside
Colgate,St Francis PA
Wyoming,N Colorado
W Kentucky,DePaul
Florida St,North Florida
Santa Clara,Utah Valley
Marquette,USC
Bryant,Brown
Colorado St,Denver
VMI,Old Dominion
E Washington,SC Upstate
Michigan,Pittsburgh
Nebraska,Tulane
C Michigan,Wright St
Kansas St,Delaware
FL Gulf Coast,Alcorn St
Georgia St,South Alabama
NJIT,New Hampshire
Sam Houston St,UC Irvine
W Carolina,Howard
Boston College,Auburn
Arkansas St,Cent Arkansas
West Virginia,Marist
Duke,Minnesota
Georgia Tech,Rice
Davidson,Vanderbilt
VA Commonwealth,Memphis
St Mary's CA,Drexel
Oral Roberts,Loy Marymount
Charlotte,Texas St
Missouri,Stanford
Gonzaga,Clemson
Oklahoma,UTEP
FL Gulf Coast,Toledo
Louisville,Northern Iowa
Alcorn St,Samford
Pacific,Xavier
California,Drake
Ohio St,Missouri KC
Mississippi,Lipscomb
Cornell,Presbyterian
Kentucky,Long Island
Pittsburgh,Delaware
NC A&T,Campbell
SC Upstate,Utah Valley
Gonzaga,Oklahoma
Northwestern,TCU
Louisville,Missouri
New Mexico St,ULL
Valparaiso,Chicago St
Clemson,UTEP
Providence,Fairfield
Michigan St,Oakland
Marist,Vanderbilt
Georgia,ETSU
Utah,C Michigan
Stanford,Northern Iowa
Arizona St,Arkansas
Santa Clara,E Washington
Wright St,Idaho St
New Mexico,Idaho
Rider,Jacksonville
Loy Marymount,Texas St
Michigan,Kansas St
Charlotte,Oral Roberts
Florida,UCF
Alabama,Charleston So
Bethune-Cookman,NE Omaha
Illinois St,UAB
Virginia Tech,Appalachian St
Drake,Rice
California,Georgia Tech
Creighton,Wisconsin
Pacific,St Mary's CA
Minnesota,Memphis
Duke,VA Commonwealth
Cincinnati,Iowa St
Wake Forest,William & Mary
Wofford,Hampton
Loyola MD,Rhode Island
Oregon,UNLV
Xavier,Drexel
Longwood,Florida A&M
Penn St,Bucknell
Davidson,West Virginia
Northeastern,Belmont
Prairie View,Navy
Jacksonville St,Northern Arizona
NC State,UNC Asheville
F Dickinson,Delaware St
Washington St,Ark Pine Bluff
Middle Tenn St,TX Southern
Ohio,Richmond
LSU,MS Valley St
G Washington,Hofstra
E Kentucky,Norfolk St
Bradley,TN Martin
