"STATION","DATE","TMAX","TMIN"
"USC00120177","1975-01-22","39","30"
"USC00120177","1975-01-23","35","24"
"USC00120177","1975-01-24","45","29"
"USC00120177","1975-01-25","41","29"
"USC00120177","1975-01-26","29","25"
"USC00120177","1975-01-27","35","23"
"USC00120177","1975-01-28","49","34"
"USC00120177","1975-01-29","63","29"
"USC00120177","1975-01-30","34","28"
"USC00120177","1975-01-31","35","31"
"USC00120177","1975-02-01","32","29"
"USC00120177","1975-02-02","35","24"
"USC00120177","1975-02-03","35","25"
"USC00120177","1975-02-04","35","30"
"USC00120177","1975-02-05","40","33"
"USC00120177","1975-02-06","33","14"
"USC00120177","1975-02-07","22","9"
"USC00120177","1975-02-08","28","14"
"USC00120177","1975-02-09","28","-8"
"USC00120177","1975-02-10","30","-8"
"USC00120177","1975-02-11","36","30"
"USC00120177","1975-02-12","32","19"
"USC00120177","1975-02-13","24","13"
"USC00120177","1975-02-14","32","16"
"USC00120177","1975-02-15","44","32"
"USC00120177","1975-02-16","40","34"
"USC00120177","1975-02-17","47","34"
"USC00120177","1975-02-18","35","32"
"USC00120177","1975-02-19","32","27"
"USC00120177","1975-02-20","43","24"
"USC00120177","1975-02-21","52","28"
"USC00120177","1975-02-22","49","42"
"USC00120177","1975-02-23","52","38"
"USC00120177","1975-02-24","48","29"
"USC00120177","1975-02-25","40","29"
"USC00120177","1975-02-26","40","31"
"USC00120177","1975-02-27","37","23"
"USC00120177","1975-02-28","37","27"
"USC00120177","1975-03-01","27","20"
"USC00120177","1975-03-02","29","16"
"USC00120177","1975-03-03","31","22"
"USC00120177","1975-03-04","38","18"
"USC00120177","1975-03-05","45","24"
"USC00120177","1975-03-06","48","37"
"USC00120177","1975-03-07","50","32"
"USC00120177","1975-03-08","32","23"
"USC00120177","1975-03-09","33","17"
"USC00120177","1975-03-10","32","28"
"USC00120177","1975-03-11","36","28"
"USC00120177","1975-03-12","46","31"
"USC00120177","1975-03-13","33","26"
"USC00120177","1975-03-14","32","25"
"USC00120177","1975-03-15","39","15"
"USC00120177","1975-03-16","41","31"
"USC00120177","1975-03-17","54","30"
"USC00120177","1975-03-18","59","38"
"USC00120177","1975-03-19","54","35"
"USC00120177","1975-03-20","61","35"
"USC00120177","1975-03-21","71","43"
"USC00120177","1975-03-22","60","38"
"USC00120177","1975-03-23","63","35"
"USC00120177","1975-03-24","61","37"
"USC00120177","1975-03-25","37","27"
"USC00120177","1975-03-26","35","25"
"USC00120177","1975-03-27","32","26"
"USC00120177","1975-03-28","45","32"
"USC00120177","1975-03-29","45","29"
"USC00120177","1975-03-30","32","25"
"USC00120177","1975-03-31","57","25"
"USC00120177","1975-04-01","59","36"
"USC00120177","1975-04-02","69","35"
"USC00120177","1975-04-03","35","26"
"USC00120177","1975-04-04","40","24"
"USC00120177","1975-04-05","44","26"
"USC00120177","1975-04-06","47","27"
"USC00120177","1975-04-07","52","25"
"USC00120177","1975-04-08","53","31"
"USC00120177","1975-04-09","51","33"
"USC00120177","1975-04-10","59","31"
"USC00120177","1975-04-11","49","31"
"USC00120177","1975-04-12","49","24"
"USC00120177","1975-04-13","53","25"
"USC00120177","1975-04-14","47","35"
"USC00120177","1975-04-15","48","33"
"USC00120177","1975-04-16","59","33"
"USC00120177","1975-04-17","73","40"
"USC00120177","1975-04-18","71","61"
"USC00120177","1975-04-19","61","43"
"USC00120177","1975-04-20","48","37"
