"STATION","DATE","TMAX","TMIN"
"USC00110442","2006-06-03","79","53"
"USC00110442","2006-06-04","74","52"
"USC00110442","2006-06-05","75","49"
"USC00110442","2006-06-06","79","54"
"USC00110442","2006-06-07","78","61"
"USC00110442","2006-06-08","80","57"
"USC00110442","2006-06-09","84","57"
"USC00110442","2006-06-10","67","47"
"USC00110442","2006-06-11","60","47"
"USC00110442","2006-06-12","64","46"
"USC00110442","2006-06-13","70","48"
"USC00110442","2006-06-14","76","54"
"USC00110442","2006-06-15","78","56"
"USC00110442","2006-06-16","82","61"
"USC00110442","2006-06-17","86","71"
"USC00110442","2006-06-18","87","71"
"USC00110442","2006-06-19","73","65"
"USC00110442","2006-06-20","82","59"
"USC00110442","2006-06-21","76","64"
"USC00110442","2006-06-22","87","66"
"USC00110442","2006-06-23","80","56"
"USC00110442","2006-06-24","73","50"
"USC00110442","2006-06-25","79","56"
"USC00110442","2006-06-26","71","59"
"USC00110442","2006-06-27","70","58"
"USC00110442","2006-06-28","79","56"
"USC00110442","2006-06-29","74","53"
"USC00110442","2006-06-30","78","55"
"USC00110442","2006-07-01","82","62"
"USC00110442","2006-07-02","87","68"
"USC00110442","2006-07-03","82","67"
"USC00110442","2006-07-04","80","67"
"USC00110442","2006-07-05","79","57"
"USC00110442","2006-07-06","76","56"
"USC00110442","2006-07-07","76","54"
"USC00110442","2006-07-08","79","54"
"USC00110442","2006-07-09","80","64"
"USC00110442","2006-07-10","85","62"
"USC00110442","2006-07-11","70","62"
"USC00110442","2006-07-12","75","64"
"USC00110442","2006-07-13","81","65"
"USC00110442","2006-07-14","84","69"
"USC00110442","2006-07-15","86","71"
"USC00110442","2006-07-16","93","70"
"USC00110442","2006-07-17","91","73"
"USC00110442","2006-07-18","92","68"
"USC00110442","2006-07-19","80","63"
"USC00110442","2006-07-20","85","68"
"USC00110442","2006-07-21","85","67"
"USC00110442","2006-07-22","74","56"
"USC00110442","2006-07-23","79","58"
"USC00110442","2006-07-24","79","61"
"USC00110442","2006-07-25","84","69"
"USC00110442","2006-07-26","87","70"
"USC00110442","2006-07-27","83","68"
"USC00110442","2006-07-28","85","68"
"USC00110442","2006-07-29","89","70"
"USC00110442","2006-07-30","91","73"
"USC00110442","2006-07-31","87","75"
"USC00110442","2006-08-01","94","77"
"USC00110442","2006-08-02","94","78"
"USC00110442","2006-08-03","92","69"
"USC00110442","2006-08-04","80","65"
"USC00110442","2006-08-05","84","62"
"USC00110442","2006-08-06","82","65"
"USC00110442","2006-08-07","80","69"
"USC00110442","2006-08-08","84","62"
"USC00110442","2006-08-09","84","62"
"USC00110442","2006-08-10","82","65"
"USC00110442","2006-08-11","77","68"
"USC00110442","2006-08-12","74","58"
"USC00110442","2006-08-13","76","57"
"USC00110442","2006-08-14","79","57"
"USC00110442","2006-08-15","79","60"
"USC00110442","2006-08-16","81","57"
"USC00110442","2006-08-17","82","59"
"USC00110442","2006-08-18","86","61"
"USC00110442","2006-08-19","78","69"
"USC00110442","2006-08-20","78","58"
"USC00110442","2006-08-21","75","54"
"USC00110442","2006-08-22","79","57"
"USC00110442","2006-08-23","83","62"
"USC00110442","2006-08-24","84","63"
"USC00110442","2006-08-25","79","65"
"USC00110442","2006-08-26","80","66"
"USC00110442","2006-08-27","76","68"
"USC00110442","2006-08-28","75","64"
"USC00110442","2006-08-29","70","60"
"USC00110442","2006-08-30","72","60"
"USC00110442","2006-08-31","73","58"
"USC00110442","2006-09-01","73","59"
"USC00110442","2006-09-02","71","55"
"USC00110442","2006-09-03","73","53"
"USC00110442","2006-09-04","75","55"
"USC00110442","2006-09-05","67","57"
"USC00110442","2006-09-06","75","57"
"USC00110442","2006-09-07","77","58"
"USC00110442","2006-09-08","79","57"
"USC00110442","2006-09-09","80","58"
"USC00110442","2006-09-10","66","59"
"USC00110442","2006-09-11","60","57"
"USC00110442","2006-09-12","64","58"
"USC00110442","2006-09-13","69","58"
"USC00110442","2006-09-14","61","55"
"USC00110442","2006-09-15","70","53"
"USC00110442","2006-09-16","74","54"
"USC00110442","2006-09-17","77","58"
"USC00110442","2006-09-18","79","55"
"USC00110442","2006-09-19","69","46"
"USC00110442","2006-09-20","54","40"
"USC00110442","2006-09-21","59","40"
"USC00110442","2006-09-22","65","44"
"USC00110442","2006-09-23","68","55"
"USC00110442","2006-09-24","68","53"
"USC00110442","2006-09-25","68","44"
"USC00110442","2006-09-26","69","45"
"USC00110442","2006-09-27","68","46"
"USC00110442","2006-09-28","64","44"
"USC00110442","2006-09-29","56","39"
"USC00110442","2006-09-30","57","42"
"USC00110442","2006-10-01","66","44"
"USC00110442","2006-10-02","71","44"
"USC00110442","2006-10-03","74","57"
"USC00110442","2006-10-04","78","56"
"USC00110442","2006-10-05","60","48"
"USC00110442","2006-10-06","59","42"
"USC00110442","2006-10-07","57","40"
"USC00110442","2006-10-08","65","41"
"USC00110442","2006-10-09","69","46"
"USC00110442","2006-10-10","69","49"
"USC00110442","2006-10-11","57","49"
"USC00110442","2006-10-12","52","28"
"USC00110442","2006-10-13","37","27"
"USC00110442","2006-10-14","48","31"
"USC00110442","2006-10-15","48","31"
"USC00110442","2006-10-16","51","29"
"USC00110442","2006-10-17","55","48"
"USC00110442","2006-10-18","56","49"
"USC00110442","2006-10-19","59","36"
"USC00110442","2006-10-20","43","31"
"USC00110442","2006-10-21","51","31"
"USC00110442","2006-10-22","56","35"
"USC00110442","2006-10-23","39","33"
"USC00110442","2006-10-24","39","33"
"USC00110442","2006-10-25","45","26"
"USC00110442","2006-10-26","49","27"
"USC00110442","2006-10-27","44","42"
"USC00110442","2006-10-28","44","36"
"USC00110442","2006-10-29","51","32"
"USC00110442","2006-10-30","53","34"
"USC00110442","2006-10-31","68","35"
"USC00110442","2006-11-01","45","25"
"USC00110442","2006-11-02","41","25"
"USC00110442","2006-11-03","33","20"
"USC00110442","2006-11-04","38","21"
"USC00110442","2006-11-05","45","30"
"USC00110442","2006-11-06","54","30"
"USC00110442","2006-11-07","53","42"
"USC00110442","2006-11-08","54","41"
"USC00110442","2006-11-09","62","44"
"USC00110442","2006-11-10","66","41"
"USC00110442","2006-11-11","45","32"
"USC00110442","2006-11-12","41","29"
"USC00110442","2006-11-13","44","33"
"USC00110442","2006-11-14","42","34"
"USC00110442","2006-11-15","43","36"
"USC00110442","2006-11-16","45","40"
"USC00110442","2006-11-17","41","33"
"USC00110442","2006-11-18","38","29"
"USC00110442","2006-11-19","43","31"
"USC00110442","2006-11-20","42","25"
"USC00110442","2006-11-21","43","26"
"USC00110442","2006-11-22","48","34"
"USC00110442","2006-11-23","53","32"
"USC00110442","2006-11-24","56","32"
"USC00110442","2006-11-25","58","35"
"USC00110442","2006-11-26","56","37"
"USC00110442","2006-11-27","61","47"
"USC00110442","2006-11-28","59","51"
"USC00110442","2006-11-29","60","52"
"USC00110442","2006-11-30","58","28"
"USC00110442","2006-12-01","30","23"
"USC00110442","2006-12-02","30","9"
"USC00110442","2006-12-03","27","7"
"USC00110442","2006-12-04","15","4"
"USC00110442","2006-12-05","24","2"
"USC00110442","2006-12-06","33","3"
"USC00110442","2006-12-07","34","6"
"USC00110442","2006-12-08","13","1"
"USC00110442","2006-12-09","20","2"
"USC00110442","2006-12-10","32","20"
"USC00110442","2006-12-11","38","29"
"USC00110442","2006-12-12","47","36"
"USC00110442","2006-12-13","49","31"
"USC00110442","2006-12-14","42","31"
"USC00110442","2006-12-15","48","37"
"USC00110442","2006-12-16","41","27"
"USC00110442","2006-12-17","52","35"
"USC00110442","2006-12-18","46","29"
"USC00110442","2006-12-19","37","21"
"USC00110442","2006-12-20","42","22"
"USC00110442","2006-12-21","38","25"
"USC00110442","2006-12-22","48","38"
"USC00110442","2006-12-23","52","36"
"USC00110442","2006-12-24","37","27"
"USC00110442","2006-12-25","40","27"
"USC00110442","2006-12-26","36","29"
"USC00110442","2006-12-27","33","27"
"USC00110442","2006-12-28","37","28"
"USC00110442","2006-12-29","46","35"
"USC00110442","2006-12-30","48","35"
"USC00110442","2006-12-31","49","37"
"USC00110442","2007-01-01","53","34"
"USC00110442","2007-01-02","40","25"
"USC00110442","2007-01-03","41","25"
"USC00110442","2007-01-04","46","32"
"USC00110442","2007-01-05","49","37"
"USC00110442","2007-01-06","49","35"
"USC00110442","2007-01-07","49","27"
"USC00110442","2007-01-08","41","24"
"USC00110442","2007-01-09","36","24"
"USC00110442","2007-01-10","31","16"
"USC00110442","2007-01-11","34","16"
"USC00110442","2007-01-12","44","34"
"USC00110442","2007-01-13","44","25"
"USC00110442","2007-01-14","30","25"
"USC00110442","2007-01-15","32","28"
"USC00110442","2007-01-16","28","10"
"USC00110442","2007-01-17","19","4"
"USC00110442","2007-01-18","26","5"
"USC00110442","2007-01-19","29","17"
"USC00110442","2007-01-20","25","5"
"USC00110442","2007-01-21","26","6"
"USC00110442","2007-01-22","28","25"
"USC00110442","2007-01-23","29","21"
"USC00110442","2007-01-24","25","17"
"USC00110442","2007-01-25","26","10"
"USC00110442","2007-01-26","22","10"
"USC00110442","2007-01-27","40","21"
"USC00110442","2007-01-28","28","6"
"USC00110442","2007-01-29","20","6"
"USC00110442","2007-01-30","24","6"
"USC00110442","2007-01-31","16","-1"
"USC00110442","2007-02-01","19","0"
"USC00110442","2007-02-02","21","2"
"USC00110442","2007-02-03","10","4"
"USC00110442","2007-02-04","8","-10"
"USC00110442","2007-02-05","0","-14"
"USC00110442","2007-02-06","2","-14"
"USC00110442","2007-02-07","9","-6"
"USC00110442","2007-02-08","10","-8"
"USC00110442","2007-02-09","9","-8"
"USC00110442","2007-02-10","15","-4"
"USC00110442","2007-02-11","11","-4"
"USC00110442","2007-02-12","25","11"
"USC00110442","2007-02-13","29","20"
"USC00110442","2007-02-14","20","5"
"USC00110442","2007-02-15","18","-1"
"USC00110442","2007-02-16","13","-7"
"USC00110442","2007-02-17","18","-7"
"USC00110442","2007-02-18","25","11"
"USC00110442","2007-02-19","22","11"
"USC00110442","2007-02-20","41","21"
"USC00110442","2007-02-21","45","20"
"USC00110442","2007-02-22","45","20"
"USC00110442","2007-02-23","34","17"
"USC00110442","2007-02-24","33","21"
"USC00110442","2007-02-25","36","24"
"USC00110442","2007-02-26","38","29"
"USC00110442","2007-02-27","31","27"
"USC00110442","2007-02-28","33","25"
"USC00110442","2007-03-01","35","26"
"USC00110442","2007-03-02","42","26"
"USC00110442","2007-03-03","29","20"
"USC00110442","2007-03-04","25","10"
"USC00110442","2007-03-05","30","12"
"USC00110442","2007-03-06","31","10"
"USC00110442","2007-03-07","31","10"
"USC00110442","2007-03-08","30","6"
"USC00110442","2007-03-09","39","8"
"USC00110442","2007-03-10","54","30"
"USC00110442","2007-03-11","48","24"
"USC00110442","2007-03-12","51","24"
"USC00110442","2007-03-13","58","37"
"USC00110442","2007-03-14","68","43"
"USC00110442","2007-03-15","59","32"
"USC00110442","2007-03-16","38","21"
"USC00110442","2007-03-17","37","21"
"USC00110442","2007-03-18","39","21"
"USC00110442","2007-03-19","46","22"
"USC00110442","2007-03-20","60","28"
"USC00110442","2007-03-21","42","29"
"USC00110442","2007-03-22","64","40"
"USC00110442","2007-03-23","59","46"
"USC00110442","2007-03-24","56","43"
"USC00110442","2007-03-25","64","49"
"USC00110442","2007-03-26","77","52"
"USC00110442","2007-03-27","78","59"
"USC00110442","2007-03-28","75","45"
"USC00110442","2007-03-29","48","44"
"USC00110442","2007-03-30","59","44"
"USC00110442","2007-03-31","55","44"
"USC00110442","2007-04-01","60","46"
"USC00110442","2007-04-02","58","40"
"USC00110442","2007-04-03","58","41"
"USC00110442","2007-04-04","69","29"
"USC00110442","2007-04-05","31","25"
"USC00110442","2007-04-06","38","20"
"USC00110442","2007-04-07","35","20"
"USC00110442","2007-04-08","31","20"
"USC00110442","2007-04-09","38","27"
"USC00110442","2007-04-10","42","26"
"USC00110442","2007-04-11","51","26"
"USC00110442","2007-04-12","35","32"
"USC00110442","2007-04-13","37","30"
"USC00110442","2007-04-14","50","31"
"USC00110442","2007-04-15","49","30"
"USC00110442","2007-04-16","58","31"
"USC00110442","2007-04-17","62","35"
"USC00110442","2007-04-18","68","37"
"USC00110442","2007-04-19","51","39"
"USC00110442","2007-04-20","59","38"
"USC00110442","2007-04-21","68","41"
"USC00110442","2007-04-22","75","45"
"USC00110442","2007-04-23","81","55"
"USC00110442","2007-04-24","69","46"
"USC00110442","2007-04-25","68","46"
"USC00110442","2007-04-26","48","44"
"USC00110442","2007-04-27","50","43"
"USC00110442","2007-04-28","51","41"
"USC00110442","2007-04-29","72","46"
"USC00110442","2007-04-30","82","49"
"USC00110442","2007-05-01","67","50"
"USC00110442","2007-05-02","80","49"
"USC00110442","2007-05-03","61","43"
"USC00110442","2007-05-04","65","46"
"USC00110442","2007-05-05","65","49"
"USC00110442","2007-05-06","65","46"
"USC00110442","2007-05-07","65","49"
"USC00110442","2007-05-08","81","54"
"USC00110442","2007-05-09","81","62"
"USC00110442","2007-05-10","77","56"
"USC00110442","2007-05-11","82","60"
"USC00110442","2007-05-12","67","43"
"USC00110442","2007-05-13","67","40"
"USC00110442","2007-05-14","68","51"
"USC00110442","2007-05-15","86","60"
"USC00110442","2007-05-16","77","47"
"USC00110442","2007-05-17","65","41"
"USC00110442","2007-05-18","62","42"
"USC00110442","2007-05-19","71","48"
"USC00110442","2007-05-20","79","44"
"USC00110442","2007-05-21","58","41"
"USC00110442","2007-05-22","80","46"
"USC00110442","2007-05-23","83","58"
"USC00110442","2007-05-24","84","65"
"USC00110442","2007-05-25","83","52"
"USC00110442","2007-05-26","70","46"
"USC00110442","2007-05-27","63","47"
"USC00110442","2007-05-28","72","50"
"USC00110442","2007-05-29","75","54"
"USC00110442","2007-05-30","83","64"
"USC00110442","2007-05-31","83","69"
"USC00110442","2007-06-01","74","62"
"USC00110442","2007-06-02","81","63"
"USC00110442","2007-06-03","78","62"
"USC00110442","2007-06-04","75","59"
"USC00110442","2007-06-05","66","51"
"USC00110442","2007-06-06","62","45"
"USC00110442","2007-06-07","73","51"
"USC00110442","2007-06-08","85","70"
"USC00110442","2007-06-09","72","51"
"USC00110442","2007-06-10","76","54"
"USC00110442","2007-06-11","78","58"
"USC00110442","2007-06-12","83","59"
"USC00110442","2007-06-13","80","59"
"USC00110442","2007-06-14","83","60"
"USC00110442","2007-06-15","87","60"
"USC00110442","2007-06-16","89","64"
"USC00110442","2007-06-17","89","66"
"USC00110442","2007-06-18","88","68"
"USC00110442","2007-06-19","85","66"
"USC00110442","2007-06-20","77","58"
"USC00110442","2007-06-21","82","61"
"USC00110442","2007-06-22","79","58"
"USC00110442","2007-06-23","73","59"
"USC00110442","2007-06-24","65","59"
"USC00110442","2007-06-25","75","63"
"USC00110442","2007-06-26","85","65"
"USC00110442","2007-06-27","88","71"
"USC00110442","2007-06-28","87","65"
"USC00110442","2007-06-29","72","53"
"USC00110442","2007-06-30","70","51"
"USC00110442","2007-07-01","76","54"
"USC00110442","2007-07-02","76","53"
"USC00110442","2007-07-03","77","58"
"USC00110442","2007-07-04","80","63"
"USC00110442","2007-07-05","84","66"
"USC00110442","2007-07-06","85","63"
"USC00110442","2007-07-07","84","62"
"USC00110442","2007-07-08","86","68"
"USC00110442","2007-07-09","90","71"
"USC00110442","2007-07-10","90","67"
"USC00110442","2007-07-11","83","58"
"USC00110442","2007-07-12","74","58"
"USC00110442","2007-07-13","77","55"
"USC00110442","2007-07-14","75","58"
"USC00110442","2007-07-15","81","56"
"USC00110442","2007-07-16","78","61"
"USC00110442","2007-07-17","78","65"
"USC00110442","2007-07-18","80","67"
"USC00110442","2007-07-19","82","69"
"USC00110442","2007-07-20","81","55"
"USC00110442","2007-07-21","73","55"
"USC00110442","2007-07-22","72","55"
"USC00110442","2007-07-23","79","57"
"USC00110442","2007-07-24","81","60"
"USC00110442","2007-07-25","80","66"
"USC00110442","2007-07-26","82","65"
"USC00110442","2007-07-27","75","65"
"USC00110442","2007-07-28","81","67"
"USC00110442","2007-07-29","79","60"
"USC00110442","2007-07-30","82","60"
"USC00110442","2007-07-31","86","62"
"USC00110442","2007-08-01","87","66"
"USC00110442","2007-08-02","88","68"
"USC00110442","2007-08-03","87","65"
"USC00110442","2007-08-04","85","62"
"USC00110442","2007-08-05","76","64"
"USC00110442","2007-08-06","85","67"
"USC00110442","2007-08-07","86","71"
"USC00110442","2007-08-08","87","72"
"USC00110442","2007-08-09","83","68"
"USC00110442","2007-08-10","82","69"
"USC00110442","2007-08-11","83","65"
"USC00110442","2007-08-12","84","65"
"USC00110442","2007-08-13","85","67"
"USC00110442","2007-08-14","77","61"
"USC00110442","2007-08-15","82","64"
"USC00110442","2007-08-16","76","66"
"USC00110442","2007-08-17","74","62"
"USC00110442","2007-08-18","75","57"
"USC00110442","2007-08-19","66","58"
"USC00110442","2007-08-20","68","61"
"USC00110442","2007-08-21","76","68"
"USC00110442","2007-08-22","81","68"
"USC00110442","2007-08-23","85","69"
"USC00110442","2007-08-24","83","67"
"USC00110442","2007-08-25","78","67"
"USC00110442","2007-08-26","77","58"
"USC00110442","2007-08-27","76","59"
"USC00110442","2007-08-28","76","63"
"USC00110442","2007-08-29","86","63"
"USC00110442","2007-08-30","83","60"
"USC00110442","2007-08-31","74","54"
"USC00110442","2007-09-01","75","56"
"USC00110442","2007-09-02","77","56"
"USC00110442","2007-09-03","80","60"
"USC00110442","2007-09-04","85","63"
"USC00110442","2007-09-05","85","64"
"USC00110442","2007-09-06","82","65"
"USC00110442","2007-09-07","77","70"
"USC00110442","2007-09-08","81","60"
"USC00110442","2007-09-09","74","59"
"USC00110442","2007-09-10","78","60"
"USC00110442","2007-09-11","69","48"
"USC00110442","2007-09-12","67","42"
"USC00110442","2007-09-13","63","43"
"USC00110442","2007-09-14","74","50"
"USC00110442","2007-09-15","61","36"
"USC00110442","2007-09-16","61","36"
"USC00110442","2007-09-17","67","48"
"USC00110442","2007-09-18","77","52"
"USC00110442","2007-09-19","84","67"
"USC00110442","2007-09-20","80","57"
"USC00110442","2007-09-21","75","57"
"USC00110442","2007-09-22","83","52"
"USC00110442","2007-09-23","71","50"
"USC00110442","2007-09-24","79","51"
"USC00110442","2007-09-25","86","66"
"USC00110442","2007-09-26","81","49"
"USC00110442","2007-09-27","66","50"
"USC00110442","2007-09-28","72","50"
"USC00110442","2007-09-29","69","49"
"USC00110442","2007-09-30","76","50"
"USC00110442","2007-10-01","80","57"
"USC00110442","2007-10-02","67","57"
"USC00110442","2007-10-03","75","53"
"USC00110442","2007-10-04","72","49"
"USC00110442","2007-10-05","77","49"
"USC00110442","2007-10-06","81","63"
"USC00110442","2007-10-07","84","66"
"USC00110442","2007-10-08","84","65"
"USC00110442","2007-10-09","83","50"
"USC00110442","2007-10-10","73","45"
"USC00110442","2007-10-11","52","44"
"USC00110442","2007-10-12","54","40"
"USC00110442","2007-10-13","53","38"
"USC00110442","2007-10-14","57","45"
"USC00110442","2007-10-15","57","50"
"USC00110442","2007-10-16","70","50"
"USC00110442","2007-10-17","65","46"
"USC00110442","2007-10-18","68","47"
"USC00110442","2007-10-19","76","54"
"USC00110442","2007-10-20","58","42"
"USC00110442","2007-10-21","70","42"
"USC00110442","2007-10-22","76","56"
"USC00110442","2007-10-23","57","40"
"USC00110442","2007-10-24","55","39"
"USC00110442","2007-10-25","53","40"
"USC00110442","2007-10-26","53","42"
"USC00110442","2007-10-27","63","49"
"USC00110442","2007-10-28","54","33"
"USC00110442","2007-10-29","55","37"
"USC00110442","2007-10-30","58","37"
"USC00110442","2007-10-31","64","42"
"USC00110442","2007-11-01","61","34"
"USC00110442","2007-11-02","52","30"
"USC00110442","2007-11-03","55","30"
"USC00110442","2007-11-04","55","31"
"USC00110442","2007-11-05","52","37"
"USC00110442","2007-11-06","53","32"
"USC00110442","2007-11-07","42","27"
"USC00110442","2007-11-08","41","28"
"USC00110442","2007-11-09","49","29"
"USC00110442","2007-11-10","46","28"
"USC00110442","2007-11-11","48","30"
"USC00110442","2007-11-12","55","42"
"USC00110442","2007-11-13","64","31"
"USC00110442","2007-11-14","57","33"
"USC00110442","2007-11-15","51","35"
"USC00110442","2007-11-16","38","21"
"USC00110442","2007-11-17","40","26"
"USC00110442","2007-11-18","44","30"
"USC00110442","2007-11-19","43","33"
"USC00110442","2007-11-20","55","41"
"USC00110442","2007-11-21","46","41"
"USC00110442","2007-11-22","42","27"
"USC00110442","2007-11-23","31","18"
"USC00110442","2007-11-24","30","18"
"USC00110442","2007-11-25","37","26"
"USC00110442","2007-11-26","38","30"
"USC00110442","2007-11-27","38","24"
"USC00110442","2007-11-28","33","19"
"USC00110442","2007-11-29","44","16"
"USC00110442","2007-11-30","35","16"
"USC00110442","2007-12-01","30","17"
"USC00110442","2007-12-02","39","21"
"USC00110442","2007-12-03","41","16"
"USC00110442","2007-12-04","27","16"
"USC00110442","2007-12-05","31","22"
"USC00110442","2007-12-06","26","-1"
