"STATION","DATE","TMAX","TMIN"
"USC00365573","1987-11-01","72","38"
"USC00365573","1987-11-02","75","46"
"USC00365573","1987-11-03","75","43"
"USC00365573","1987-11-04","74","43"
"USC00365573","1987-11-05","54","33"
"USC00365573","1987-11-06","45","32"
"USC00365573","1987-11-07","57","40"
"USC00365573","1987-11-08","68","40"
"USC00365573","1987-11-09","52","33"
"USC00365573","1987-11-10","35","26"
"USC00365573","1987-11-11","36","26"
"USC00365573","1987-11-12","44","29"
"USC00365573","1987-11-13","55","30"
"USC00365573","1987-11-14","60","30"
"USC00365573","1987-11-15","66","30"
"USC00365573","1987-11-16","68","31"
"USC00365573","1987-11-17","69","50"
"USC00365573","1987-11-18","51","37"
"USC00365573","1987-11-19","49","37"
"USC00365573","1987-11-20","37","19"
"USC00365573","1987-11-21","25","19"
"USC00365573","1987-11-22","36","20"
"USC00365573","1987-11-23","54","20"
"USC00365573","1987-11-24","57","43"
"USC00365573","1987-11-25","67","43"
"USC00365573","1987-11-26","49","39"
"USC00365573","1987-11-27","51","39"
"USC00365573","1987-11-28","55","44"
"USC00365573","1987-11-29","52","38"
"USC00365573","1987-11-30","41","37"
"USC00365573","1987-12-01","39","32"
"USC00365573","1987-12-02","36","31"
"USC00365573","1987-12-03","41","31"
"USC00365573","1987-12-04","36","29"
"USC00365573","1987-12-05","33","30"
"USC00365573","1987-12-06","34","24"
"USC00365573","1987-12-07","42","30"
"USC00365573","1987-12-08","60","34"
"USC00365573","1987-12-09","59","39"
"USC00365573","1987-12-10","48","29"
"USC00365573","1987-12-11","48","28"
"USC00365573","1987-12-12","48","35"
"USC00365573","1987-12-13","48","33"
"USC00365573","1987-12-14","42","33"
"USC00365573","1987-12-15","58","29"
"USC00365573","1987-12-16","30","29"
"USC00365573","1987-12-17","33","27"
"USC00365573","1987-12-18","36","25"
"USC00365573","1987-12-19","42","34"
"USC00365573","1987-12-20","56","32"
"USC00365573","1987-12-21","41","21"
"USC00365573","1987-12-22","38","21"
"USC00365573","1987-12-23","44","27"
"USC00365573","1987-12-24","54","27"
"USC00365573","1987-12-25","55","28"
"USC00365573","1987-12-26","39","28"
"USC00365573","1987-12-27","37","27"
"USC00365573","1987-12-28","39","30"
"USC00365573","1987-12-29","31","20"
"USC00365573","1987-12-30","29","16"
"USC00365573","1987-12-31","31","43"
"USC00365573","1988-01-01","31","15"
"USC00365573","1988-01-02","27","13"
"USC00365573","1988-01-03","33","14"
"USC00365573","1988-01-04","31","4"
"USC00365573","1988-01-05","10","1"
"USC00365573","1988-01-06","13","1"
"USC00365573","1988-01-07","20","2"
"USC00365573","1988-01-08","25","14"
"USC00365573","1988-01-09","25","15"
"USC00365573","1988-01-10","24","0"
"USC00365573","1988-01-11","33","0"
"USC00365573","1988-01-12","49","16"
"USC00365573","1988-01-13","36","12"
"USC00365573","1988-01-14","36","8"
"USC00365573","1988-01-15","32","7"
"USC00365573","1988-01-16","48","7"
"USC00365573","1988-01-17","55","31"
"USC00365573","1988-01-18","48","30"
"USC00365573","1988-01-19","48","29"
"USC00365573","1988-01-20","62","39"
"USC00365573","1988-01-21","56","29"
"USC00365573","1988-01-22","38","23"
"USC00365573","1988-01-23","41","24"
"USC00365573","1988-01-24","49","28"
"USC00365573","1988-01-25","34","7"
"USC00365573","1988-01-26","17","6"
"USC00365573","1988-01-27","23","12"
"USC00365573","1988-01-28","27","16"
"USC00365573","1988-01-29","49","17"
"USC00365573","1988-01-30","60","29"
"USC00365573","1988-01-31","64","29"
"USC00365573","1988-02-01","57","51"
"USC00365573","1988-02-02","57","32"
"USC00365573","1988-02-03","43","29"
"USC00365573","1988-02-04","29","17"
"USC00365573","1988-02-05","21","1"
"USC00365573","1988-02-06","12","0"
"USC00365573","1988-02-07","28","4"
"USC00365573","1988-02-08","29","4"
"USC00365573","1988-02-09","38","25"
"USC00365573","1988-02-10","34","24"
"USC00365573","1988-02-11","42","24"
"USC00365573","1988-02-12","11","34"
"USC00365573","1988-02-13","19","6"
"USC00365573","1988-02-14","46","5"
"USC00365573","1988-02-15","50","30"
"USC00365573","1988-02-16","34","28"
"USC00365573","1988-02-17","53","28"
"USC00365573","1988-02-18","50","29"
"USC00365573","1988-02-19","48","33"
"USC00365573","1988-02-20","44","11"
"USC00365573","1988-02-21","29","11"
"USC00365573","1988-02-22","58","29"
"USC00365573","1988-02-23","38","23"
"USC00365573","1988-02-24","32","20"
"USC00365573","1988-02-25","29","19"
"USC00365573","1988-02-26","41","20"
"USC00365573","1988-02-27","40","25"
"USC00365573","1988-02-28","42","24"
"USC00365573","1988-02-29","45","27"
"USC00365573","1988-03-01","44","24"
"USC00365573","1988-03-02","57","25"
"USC00365573","1988-03-03","36","33"
"USC00365573","1988-03-04","35","17"
"USC00365573","1988-03-05","40","17"
"USC00365573","1988-03-06","54","21"
"USC00365573","1988-03-07","46","21"
"USC00365573","1988-03-08","68","29"
"USC00365573","1988-03-09","56","33"
"USC00365573","1988-03-10","47","25"
"USC00365573","1988-03-11","53","25"
"USC00365573","1988-03-12","66","29"
"USC00365573","1988-03-13","40","23"
"USC00365573","1988-03-14","31","21"
"USC00365573","1988-03-15","32","23"
"USC00365573","1988-03-16","35","25"
"USC00365573","1988-03-17","39","27"
"USC00365573","1988-03-18","36","29"
"USC00365573","1988-03-19","39","27"
"USC00365573","1988-03-20","32","20"
"USC00365573","1988-03-21","34","17"
"USC00365573","1988-03-22","47","18"
"USC00365573","1988-03-23","76","29"
"USC00365573","1988-03-24","73","41"
"USC00365573","1988-03-25","77","42"
"USC00365573","1988-03-26","66","35"
"USC00365573","1988-03-27","41","28"
"USC00365573","1988-03-28","58","29"
"USC00365573","1988-03-29","78","36"
"USC00365573","1988-03-30","65","39"
"USC00365573","1988-03-31","71","40"
"USC00365573","1988-04-01","64","52"
"USC00365573","1988-04-02","72","52"
"USC00365573","1988-04-03","74","52"
"USC00365573","1988-04-04","66","43"
"USC00365573","1988-04-05","78","43"
"USC00365573","1988-04-06","78","46"
"USC00365573","1988-04-07","54","42"
"USC00365573","1988-04-08","48","36"
"USC00365573","1988-04-09","57","33"
"USC00365573","1988-04-10","65","32"
"USC00365573","1988-04-11","66","37"
"USC00365573","1988-04-12","58","34"
"USC00365573","1988-04-13","63","34"
"USC00365573","1988-04-14","67","36"
