"STATION","DATE","TMAX","TMIN"
"USW00013752","2004-07-01","83","70"
"USW00013752","2004-07-02","87","72"
"USW00013752","2004-07-03","86","73"
"USW00013752","2004-07-04","83","73"
"USW00013752","2004-07-05","92","75"
"USW00013752","2004-07-06","88","76"
"USW00013752","2004-07-07","87","73"
"USW00013752","2004-07-08","87","71"
"USW00013752","2004-07-09","85","69"
"USW00013752","2004-07-10","82","69"
"USW00013752","2004-07-11","87","72"
"USW00013752","2004-07-12","84","74"
"USW00013752","2004-07-13","81","74"
"USW00013752","2004-07-14","89","72"
"USW00013752","2004-07-15","83","69"
"USW00013752","2004-07-16","84","70"
"USW00013752","2004-07-17","84","70"
"USW00013752","2004-07-18","75","69"
"USW00013752","2004-07-19","80","69"
"USW00013752","2004-07-20","83","69"
"USW00013752","2004-07-21","84","70"
"USW00013752","2004-07-22","87","73"
"USW00013752","2004-07-23","83","75"
"USW00013752","2004-07-24","77","71"
"USW00013752","2004-07-25","74","70"
"USW00013752","2004-07-26","77","69"
"USW00013752","2004-07-27","84","73"
"USW00013752","2004-07-28","80","73"
"USW00013752","2004-07-29","83","70"
"USW00013752","2004-07-30","86","75"
"USW00013752","2004-08-02","84","75"
"USW00013752","2004-08-03","84","74"
"USW00013752","2004-08-04","88","72"
"USW00013752","2004-08-05","76","71"
"USW00013752","2004-08-06","74","63"
"USW00013752","2004-08-07","74","59"
"USW00013752","2004-08-08","81","59"
"USW00013752","2004-08-09","81","65"
"USW00013752","2004-08-10","84","70"
"USW00013752","2004-08-11","84","71"
"USW00013752","2004-08-12","83","72"
"USW00013752","2004-08-13","79","71"
"USW00013752","2004-08-14","72","66"
"USW00013752","2004-08-15","77","66"
"USW00013752","2004-08-16","79","69"
"USW00013752","2004-08-17","80","68"
"USW00013752","2004-08-18","83","69"
"USW00013752","2004-08-19","88","73"
"USW00013752","2004-08-20","89","74"
"USW00013752","2004-08-21","81","69"
"USW00013752","2004-08-22","76","64"
"USW00013752","2004-08-23","80","66"
"USW00013752","2004-08-24","84","67"
"USW00013752","2004-08-25","80","72"
"USW00013752","2004-08-26","82","71"
"USW00013752","2004-08-27","84","72"
"USW00013752","2004-08-28","86","73"
"USW00013752","2004-08-29","84","73"
"USW00013752","2004-08-30","82","75"
"USW00013752","2004-08-31","83","71"
"USW00013752","2004-09-01","80","67"
"USW00013752","2004-09-02","80","70"
"USW00013752","2004-09-07","81","69"
"USW00013752","2004-09-08","80","73"
"USW00013752","2004-09-09","84","70"
"USW00013752","2004-09-10","82","65"
"USW00013752","2004-09-11","77","69"
"USW00013752","2004-09-12","77","65"
"USW00013752","2004-09-13","83","65"
"USW00013752","2004-09-14","77","67"
"USW00013752","2004-09-15","71","66"
"USW00013752","2004-09-16","79","69"
"USW00013752","2004-09-17","81","71"
"USW00013752","2004-09-18","75","62"
"USW00013752","2004-09-19","70","57"
"USW00013752","2004-09-20","69","57"
"USW00013752","2004-09-21","80","54"
"USW00013752","2004-09-22","83","59"
"USW00013752","2004-09-23","83","62"
"USW00013752","2004-09-24","77","64"
"USW00013752","2004-09-25","73","62"
"USW00013752","2004-09-26","73","61"
"USW00013752","2004-09-27","73","62"
"USW00013752","2004-09-28","76","68"
"USW00013752","2004-10-05","65","51"
"USW00013752","2004-10-06","63","48"
"USW00013752","2004-10-07","71","48"
"USW00013752","2004-10-08","72","53"
"USW00013752","2004-10-09","70","58"
"USW00013752","2004-10-10","70","55"
"USW00013752","2004-10-11","63","51"
"USW00013752","2004-10-12","65","43"
"USW00013752","2004-10-13","62","47"
"USW00013752","2004-10-14","67","54"
"USW00013752","2004-10-15","66","50"
"USW00013752","2004-10-16","63","46"
"USW00013752","2004-10-17","63","45"
"USW00013752","2004-10-18","62","43"
"USW00013752","2004-10-19","59","54"
"USW00013752","2004-10-20","56","53"
"USW00013752","2004-10-21","56","52"
"USW00013752","2004-10-22","56","48"
"USW00013752","2004-10-23","57","47"
"USW00013752","2004-10-24","53","48"
"USW00013752","2004-10-25","57","51"
"USW00013752","2004-10-26","62","50"
"USW00013752","2004-10-27","63","50"
"USW00013752","2004-10-28","62","51"
"USW00013752","2004-10-29","59","55"
"USW00013752","2004-10-30","71","58"
"USW00013752","2004-10-31","78","63"
"USW00013752","2004-11-01","68","55"
"USW00013752","2004-11-02","69","54"
"USW00013752","2004-11-03","70","54"
"USW00013752","2004-11-04","54","48"
"USW00013752","2004-11-05","57","46"
"USW00013752","2004-11-06","64","42"
"USW00013752","2004-11-07","66","45"
"USW00013752","2004-11-08","61","42"
